h_code,x,y,z,no
1165062100,3.027139089,-0.075216315,-0.212536085,0
1165065100,0.935748792,-0.314875113,0.732984342,0
1165065200,-0.158112523,2.156806784,0.306489864,1
1165066000,1.231889392,1.07469539,-1.479616198,0
1168051000,4.918756449,4.456394103,4.269215292,3
1168052100,1.848926029,0.573148216,2.164846183,3
1168053100,2.167919328,0.439882413,2.285815588,3
1168054500,2.272247169,0.414780909,2.737299437,3
1168056500,2.021649368,0.583374619,2.074834349,3
1168058000,0.028527522,1.747792983,1.33725412,1
1168059000,2.503610236,0.904156618,0.423974969,0
1168060000,0.633119593,3.35577951,-0.260745886,1
1168061000,0.042677771,3.489532839,0.30813164,1
1168063000,2.829069773,1.633802644,1.467477402,0
1168064000,3.133006906,3.88107323,7.010237694,3
1168065000,2.752250107,0.783768323,0.693205061,0
1168065500,1.774198247,0.250105752,-0.222849223,0
1168065600,2.477367715,-0.222285389,0.500914303,0
1168066000,-0.062815621,-0.444251972,-1.444050465,1
1168067000,0.780337422,0.687675697,-0.556978011,0
1168069000,0.362014544,0.761079411,-0.710481675,0
1168070000,2.018448181,0.11330419,-0.7974072,0
1168072000,1.741177846,2.651089086,-2.588104908,0
1168073000,-0.111197208,0.890976936,-1.870014704,1
1168074000,0.215719691,0.034389672,-0.939720177,1
1168075000,1.274531353,-1.644082065,-1.109652311,0
1171051000,-1.094180252,0.120571295,-0.913674985,1
1171052000,1.178334692,-1.235465875,-0.039239847,0
1171053100,-2.229545949,0.193619806,-0.315015257,4
1171053200,-1.082122861,0.03365076,-0.464000124,1
1171054000,-2.42109669,0.595762974,-0.708302729,4
1171055000,-2.196278275,0.270292862,-0.304211744,4
1171056100,1.0405251,0.236973421,-0.334238663,0
1171056200,1.901558929,0.076389251,-6.23552E-05,0
1171056600,0.16459181,1.287517038,-1.204055851,1
1171057000,0.25381968,0.421244207,-0.171482054,0
1171058000,2.40712205,0.107719121,-0.076110656,0
1171059000,0.723058115,-0.071043081,-0.592747089,1
1171060000,1.47005471,0.3017908,0.20108774,0
1171061000,2.207576424,0.492986842,-0.585557911,0
1171062000,-0.350021204,1.07181981,0.025826968,1
1171063100,1.502546075,0.680374792,-0.526974929,0
1171063200,0.218027203,1.399663624,-0.423699611,1
1171064100,-0.132183285,1.121166195,-0.59131803,1
1171064200,2.550645189,-0.159413895,1.443750878,3
